132,Hard-Drive,Seagate,Barracuda ,2 TB,http://www.amazon.com/dp/B005T3GRN2/?tag=aindexpc-20,79.99,,"<ul>
        <li>2TB storage capacity with SATA 6Gb/s NCQ Interface</li>
        <li>SATA 6Gb/s interface optimizes burst performance</li>
        <li>Seagate AcuTrac servo technology delivers dependable performance, even with hard drive track widths of only 75 nanometers</li>
        <li>Seagate OptiCache technology boosts overall performance by as much as 45% over the previous generation.</li>
        <li>Best Fit Applications include: Desktop or all-in-one PCs, Home servers , PC-based game systems, Desktop RAID, Direct attached external storage devices (DAS), Network attached storage devices (NAS)</li>
</ul>"
133,Hard-Drive,Seagate,Barracuda ,3 TB,http://www.amazon.com/dp/B005T3GRLY/?tag=aindexpc-20,101.47,,"<ul>
        <li>3TB storage capacity with SATA 6Gb/s NCQ Interface</li>
        <li>SATA 6Gb/s interface optimizes burst performance</li>
        <li>Seagate AcuTrac servo technology delivers dependable performance, even with hard drive track widths of only 75 nanometers</li>
        <li>Seagate OptiCache technology boosts overall performance by as much as 45% over the previous generation.</li>
        <li>Best Fit Applications include: Desktop or all-in-one PCs, Home servers , PC-based game systems, Desktop RAID, Direct attached external storage devices (DAS), Network attached storage devices (NAS)</li>
        <li>Formerly know as ""desktop""</li>
</ul>"
134,Power-Supply,Corsair,CS ,550 Watt,http://www.amazon.com/dp/B00GH9NA6O/?tag=aindexpc-20,74.15,,"<ul>
        <li>The latest ATX12V v2.4 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2, 2.31 and ATX12V 2.01 systems.</li>
        <li>4th generation Intel Core processor Ready (Intel Haswell and Z87 motherboards)</li>
        <li>80PLUS Gold certified, delivering over 92% energy efficiency at real world load conditions.</li>
        <li>The low-profile, flat modular cable design reduces air friction and helps maximize airflow through your computer's chassis.</li>
        <li>A three year warranty and lifetime access to Corsair's legendary technical support and customer service.</li>
        <li>Active Power Factor Correction (PFC) with PF value of 0.99.</li>
</ul>"
135,Power-Supply,Corsair,RM ,650 Watt,http://www.amazon.com/dp/B00EB7UIRS/?tag=aindexpc-20,104.99,,"<ul>
        <li>The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems.</li>
        <li>4th generation Intel Core processor Ready (Intel Haswell and Z87 motherboards)</li>
        <li>80PLUS Gold certified, delivering over 92% energy efficiency at real world load conditions.</li>
        <li>Low-profile, flat cable design reduces air friction and helps maximize airflow through your computer's chassis.</li>
        <li>High-quality Japanese capacitors provide uncompromised performance and reliability.</li>
        <li>Active Power Factor Correction (PFC) with PF value of 0.99.</li>
        <li>Over-voltage and over-current protection, under-voltage protection, and short circuit protection provide maximum safety to your critical system components.</li>
        <li>Universal AC input from 100-240V, A five year warranty and lifetime access to Corsair's legendary technical support and customer service.</li>
</ul>"
136,Power-Supply,Corsair,AX ,760 Watt,http://www.amazon.com/dp/B00A0HZMEM/?tag=aindexpc-20,158.98,,"<ul>
        <li>The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems.</li>
        <li>Silent at low to moderate load due to high efficiency and zero RPM fanless mode. Ultra quiet at high loads with 120mm dual-ball bearing fan.</li>
        <li>80PLUS Platinum certified, delivering over 92% energy efficiency at real world load conditions.</li>
        <li>Active Power Factor Correction (PFC) with PF value of 0.99.</li>
        <li>Universal AC input from 90~264V. No more hassle of flipping that tiny red switch to select the voltage input!</li>
        <li>A Seven year warranty and lifetime access to Corsair?s legendary technical support and customer service.</li>
        <li>A dedicated single +12V rail offers maximum compatibility with the latest components.</li>
        <li>Over-voltage and over-current protection, under-voltage protection, and short circuit protection provide maximum safety to your critical system components.</li>
</ul>"
137,Case,Apex,MI-008,,http://www.amazon.com/dp/B001H0BA24/?tag=aindexpc-20,47.14,"110, 111, 112, 113, 114, 115, 134, 135, 136","<ul>
        <li>W/250W ITX PSU+SATA POWER SUPPLY</li>
</ul>"
138,Case,BitFenix,Phenom ,,http://www.amazon.com/dp/B00G47WG9G/?tag=aindexpc-20,110.54,"110, 111, 112, 113, 114, 115","<ul>
        <li>Case Type: Mini-ITX Tower</li>
        <li>Material: Steel, Plastic, Soft ouch</li>
        <li>Expansion Slots: 2x PCI Slots</li>
        <li>Front I/O Panel: 2x USB 3.0 Ports, HD Audio</li>
        <li>Power Supply: None, Supports PS2 ATX Power Supply (bottom, multi direction)</li>
</ul>"
139,Case,BitFenix,Phenom ,,http://www.amazon.com/dp/B00G47W7CM/?tag=aindexpc-20,92.73,"110, 111, 112, 113, 114, 115","<ul>
        <li>Case Type: Mini-ITX Tower</li>
        <li>Material: Steel, Plastic, Soft ouch</li>
        <li>Expansion Slots: 2x PCI Slots</li>
        <li>Front I/O Panel: 2x USB 3.0 Ports, HD Audio</li>
        <li>Power Supply: None, Supports PS2 ATX Power Supply (bottom, multi direction)</li>
</ul>"
140,Case,Corsair,Carbide 300R,,http://www.amazon.com/dp/B006I2H0YS/?tag=aindexpc-20,79.99,,"<ul>
        <li>Room for graphics cards up to 450mm long</li>
        <li>USB 3.0 front panel connectors</li>
        <li>Built-in compatibility for SSDs in the four hard drive bays</li>
        <li>Keep your system cool with up to 7 fan mount locations</li>
        <li>Easily accessible dust filters keep the cool air flowing over your valuable components</li>
        <li>Compatible with ATX and mATX motherboards</li>
        <li>Install or upgrade your CPU heatsink quickly with the easy-access backplate cutout</li>
        <li>Optimize airflow and keep your system neat and tidy using the intelligent cable management system.</li>
</ul>"
141,Case,Corsair,Carbide 400R,,http://www.amazon.com/dp/B0055Q7BR4/?tag=aindexpc-20,79.99,,"<ul>
        <li>Built-in compatibility for SSDs in the six hard drive bays gives you the flexibility you need.</li>
        <li>Front panel includes USB 3.0, Headphone, Mic, and an LED on/off switch.</li>
        <li>Keep your system cool with up to 10 fan mount locations (four 120mm, six 120mm/140mm)</li>
        <li>Up to 316mm of length for modern GPUs.</li>
        <li>Easily accessible dust filters keep the cool air flowing over your valuable components.</li>
        <li>Captive thumbscrews make it easy to remove your side panels without losing the screws.</li>
        <li>Install or upgrade your CPU heatsink quickly with the easy-access backplate cutout.</li>
        <li>Optimize airflow and keep your system neat and tidy using the intelligent cable management system.</li>
</ul>"
142,Case,Corsair,Carbide 500R,,http://www.amazon.com/dp/B005E983JW/?tag=aindexpc-20,129.99,,"<ul>
        <li>Optimize airflow and keep your system neat and tidy using the intelligent cable management system.</li>
        <li>Removable hard drive cages for optimum GPU airflow and to accommodate GPUs up to 452mm in length</li>
        <li>Mesh side panel can accommodate two 120mm or 140mm fans, or included 200mm fan for outrageous cooling potential.</li>
        <li>Built-in multi-channel fan controller for optimal cooling adjustability.</li>
        <li>Front panel includes USB 3.0, Headphone, Mic, multi-channel fan controller, and an LED on/off switch.</li>
        <li>Built-in compatibility for SSDs in the six hard drive bays gives you the flexibility you need.</li>
        <li>Install or upgrade your CPU heatsink quickly with the easy-access backplate cutout.</li>
        <li>Keep your system cool with up to 10 fan mount locations (four 120mm, six 120mm/140mm)</li>
</ul>"
143,Case,Fractal Design,Core 1000,,http://www.amazon.com/dp/B00CUSUV0O/?tag=aindexpc-20,48.99,,"<ul>
        <li>Simple yet elegant mesh front panel allowing for increased airflow through the case</li>
        <li>Optimized for performance in a compact micro-ATX form factor with multiple cooling options</li>
        <li>Innovative HDD positioning which mounts the HDD or SSDs vertically on the mounting bracket with anti-vibration silicone grommets</li>
        <li>Supports long graphics cards up to 350mm in length</li>
</ul>"
